"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,5.294168368E-4,4.072450101E-4,-2.036616206E-5,6.682405749E-4
5.499050000E-2,5.294168368E-4,4.072450101E-4,-2.036616206E-5,6.682405749E-4
8.747975000E-2,5.294168368E-4,4.072450101E-4,-2.036616206E-5,6.682405749E-4
1.086788750E-1,-8.144835010E-5,1.628975384E-3,5.904994905E-4,1.734613583E-3
1.243249370E-1,1.140282140E-3,1.628975384E-3,-2.036616206E-5,1.988521798E-3
1.371684680E-1,5.294168368E-4,1.628975384E-3,-2.036616206E-5,1.712967533E-3
1.485312340E-1,5.294168368E-4,2.239840105E-3,5.904994905E-4,2.376100909E-3
1.592116170E-1,5.294168368E-4,2.239840105E-3,-2.036616206E-5,2.301647381E-3
1.695978080E-1,1.140282140E-3,2.239840105E-3,-2.036616206E-5,2.513472068E-3
1.796734040E-1,5.294168368E-4,-2.036206424E-4,5.904994905E-4,8.187998543E-4
1.897592020E-1,5.294168368E-4,4.072450101E-4,-2.036616206E-5,6.682405749E-4
1.998901010E-1,-8.144835010E-5,4.072450101E-4,-2.036616206E-5,4.158089857E-4
2.099350500E-1,5.294168368E-4,4.072450101E-4,-2.036616206E-5,6.682405749E-4
2.199555250E-1,-8.144835010E-5,4.072450101E-4,-2.036616206E-5,4.158089857E-4
2.299632620E-1,-8.144835010E-5,-2.036206424E-4,-2.036616206E-5,2.202498134E-4
2.399661310E-1,5.294168368E-4,-1.425351016E-3,5.904994905E-4,1.631133764E-3
2.499435650E-1,5.294168368E-4,1.628975384E-3,-2.036616206E-5,1.712967533E-3
2.599462820E-1,-8.144835010E-5,4.072450101E-4,-6.312318146E-4,7.556030279E-4
2.699256410E-1,-8.144835010E-5,-8.144853637E-4,-1.852963120E-3,2.025707917E-3
2.799633200E-1,5.294168368E-4,4.072450101E-4,-6.312318146E-4,9.190126708E-4
2.898991600E-1,5.294168368E-4,1.018109731E-3,-2.036616206E-5,1.147712679E-3
2.999015800E-1,-6.923135370E-4,4.072450101E-4,-6.312318146E-4,1.021567489E-3
