"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.796440000E-1,-4.214975052E-4,-2.462397516E-2,1.942548901E-3,2.470407474E-2
5.898880000E-1,-1.643228112E-3,-1.301753428E-2,7.208194584E-4,1.314062320E-2
5.998230000E-1,-1.643228112E-3,-8.002296090E-4,1.099538058E-4,1.831025913E-3
6.101200000E-1,-1.643228112E-3,8.362748660E-3,1.099538058E-4,8.523371024E-3
6.200670000E-1,-2.254093299E-3,1.508226618E-2,1.099538058E-4,1.525017310E-2
6.296940000E-1,-2.864958486E-3,1.874745823E-2,-5.009118468E-4,1.897171816E-2
6.397890000E-1,-1.643228112E-3,2.668870613E-2,-1.722643152E-3,2.679467732E-2
6.498390000E-1,-1.643228112E-3,4.012774304E-2,-2.944372594E-3,4.026916053E-2
6.596770000E-1,-1.643228112E-3,5.601023883E-2,-4.166103899E-3,5.618899780E-2
6.698520000E-1,-1.643228112E-3,8.105571568E-2,-5.998698995E-3,8.129399506E-2
6.799950000E-1,-1.032362925E-3,8.533176780E-2,-5.998698995E-3,8.554858712E-2
6.896790000E-1,-1.032362925E-3,8.655349910E-2,-6.609564647E-3,8.681163704E-2
6.998930000E-1,-4.214975052E-4,8.716436476E-2,-6.609564647E-3,8.741561925E-2
7.106330000E-1,-1.032362925E-3,9.021869302E-2,-6.609564647E-3,9.046637324E-2
7.202320000E-1,-1.643228112E-3,9.571647644E-2,-6.609564647E-3,9.595848272E-2
7.297950000E-1,-1.032362925E-3,1.012142673E-1,-8.442159742E-3,1.015709788E-1
7.400470000E-1,-1.032362925E-3,1.061011925E-1,-8.442159742E-3,1.064415280E-1
7.498250000E-1,-1.032362925E-3,1.091555133E-1,-8.442159742E-3,1.094863550E-1
7.596860000E-1,-1.643228112E-3,1.140424386E-1,-9.053025395E-3,1.144130030E-1
7.698880000E-1,-4.214975052E-4,1.213728189E-1,-9.053025395E-3,1.217107066E-1
7.797200000E-1,1.893676817E-4,1.293140650E-1,-1.027475577E-2,1.297217556E-1
7.897160000E-1,2.021963475E-3,1.329792589E-1,-1.088562142E-2,1.334393809E-1
8.001070000E-1,1.411098172E-3,1.287032068E-1,-1.027475577E-2,1.291203982E-1
8.099370000E-1,1.411098172E-3,1.152641699E-1,-9.053025395E-3,1.156277533E-1
8.199630000E-1,1.411098172E-3,9.021869302E-2,-7.831295021E-3,9.056894031E-2
8.297070000E-1,1.411098172E-3,5.234504864E-2,-4.166103899E-3,5.252953204E-2
8.398750000E-1,1.893676817E-4,9.584479034E-3,-1.722643152E-3,9.739897222E-3
8.499060000E-1,1.893676817E-4,-3.317608684E-2,7.208194584E-4,3.318445689E-2
8.600310000E-1,1.411098172E-3,-7.349319011E-2,4.386009648E-3,7.363747192E-2
8.699380000E-1,1.411098172E-3,-1.101451069E-1,7.440336049E-3,1.104051374E-1
8.796550000E-1,8.002328686E-4,-1.358014494E-1,9.883796796E-3,1.361630033E-1
8.896210000E-1,2.021963475E-3,-1.510730833E-1,9.883796796E-3,1.514095580E-1
8.998900000E-1,3.854559269E-3,-1.584034562E-1,1.110552810E-2,1.588390548E-1
9.097390000E-1,3.854559269E-3,-1.632903814E-1,1.049466245E-2,1.636726741E-1
9.197110000E-1,3.854559269E-3,-1.693990380E-1,1.171639189E-2,1.698474772E-1
9.299220000E-1,8.002328686E-4,-1.736750901E-1,1.354898885E-2,1.742046279E-1
9.396820000E-1,-1.643228112E-3,-1.718425006E-1,1.477072015E-2,1.724839685E-1
9.497780000E-1,-1.032362925E-3,-1.620686501E-1,1.232725754E-2,1.625400702E-1
9.597570000E-1,-1.032362925E-3,-1.516839415E-1,1.293812320E-2,1.522382308E-1
9.697590000E-1,-1.643228112E-3,-1.492404789E-1,1.171639189E-2,1.497086991E-1
9.797130000E-1,-4.086689092E-3,-1.614577919E-1,1.293812320E-2,1.620268948E-1
9.898000000E-1,-7.141015492E-3,-1.883358657E-1,1.660331339E-2,1.892011164E-1
1.000044000E0,-7.751881145E-3,-2.268203646E-1,1.904677600E-2,2.277506293E-1
