"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-8.429940790E-4,2.748928964E-4,-5.009118468E-4,1.018389807E-3
9.870000000E-3,-8.429940790E-4,-3.359718248E-4,-1.111777499E-3,1.435118564E-3
1.997700000E-2,9.896015981E-4,-3.359718248E-4,-1.111777499E-3,1.525856349E-3
2.997400000E-2,-2.321288921E-4,2.748928964E-4,-1.111777499E-3,1.168545735E-3
3.994400000E-2,-2.321288921E-4,2.748928964E-4,1.099538058E-4,3.762177115E-4
4.997200000E-2,-1.453859499E-3,2.748928964E-4,-5.009118468E-4,1.562109543E-3
6.049500000E-2,-2.321288921E-4,2.748928964E-4,-5.009118468E-4,6.167354419E-4
7.020900000E-2,-2.321288921E-4,2.748928964E-4,-5.009118468E-4,6.167354419E-4
7.995200000E-2,-2.321288921E-4,2.748928964E-4,1.099538058E-4,3.762177115E-4
8.994000000E-2,-8.429940790E-4,-3.359718248E-4,1.099538058E-4,9.141148307E-4
9.994500000E-2,-2.321288921E-4,2.748928964E-4,1.099538058E-4,3.762177115E-4
1.099440000E-1,-2.321288921E-4,-9.468374774E-4,1.099538058E-4,9.810580363E-4
1.199470000E-1,-2.321288921E-4,2.748928964E-4,-1.111777499E-3,1.168545735E-3
1.299440000E-1,-2.321288921E-4,2.748928964E-4,-5.009118468E-4,6.167354419E-4
1.399600000E-1,-2.321288921E-4,-3.359718248E-4,-5.009118468E-4,6.462766960E-4
1.498720000E-1,-8.429940790E-4,-3.359718248E-4,-5.009118468E-4,1.036546556E-3
1.599380000E-1,3.787362948E-4,2.748928964E-4,-5.009118468E-4,6.855070851E-4
1.699440000E-1,3.787362948E-4,2.748928964E-4,-1.111777499E-3,1.206257225E-3
1.799390000E-1,-2.321288921E-4,-3.359718248E-4,1.099538058E-4,4.229074710E-4
1.899390000E-1,3.787362948E-4,-3.359718248E-4,1.099538058E-4,5.180811592E-4
1.999600000E-1,-2.321288921E-4,2.748928964E-4,-1.111777499E-3,1.168545735E-3
2.099310000E-1,-2.321288921E-4,-9.468374774E-4,-5.009118468E-4,1.096037276E-3
2.199920000E-1,-8.429940790E-4,-9.468374774E-4,-5.009118468E-4,1.363104143E-3
2.299460000E-1,3.787362948E-4,2.748928964E-4,1.099538058E-4,4.807256233E-4
2.399680000E-1,-2.321288921E-4,8.857585490E-4,-5.009118468E-4,1.043726357E-3
2.499420000E-1,-2.321288921E-4,8.857585490E-4,-5.009118468E-4,1.043726357E-3
2.599610000E-1,3.787362948E-4,2.748928964E-4,1.099538058E-4,4.807256233E-4
2.699300000E-1,-2.321288921E-4,-3.359718248E-4,-1.111777499E-3,1.184402844E-3
2.800770000E-1,-8.429940790E-4,2.748928964E-4,-5.009118468E-4,1.018389807E-3
2.899360000E-1,-8.429940790E-4,2.748928964E-4,-5.009118468E-4,1.018389807E-3
2.999360000E-1,-2.321288921E-4,2.748928964E-4,-5.009118468E-4,6.167354419E-4
3.099590000E-1,-2.321288921E-4,2.748928964E-4,-5.009118468E-4,6.167354419E-4
3.199660000E-1,-2.321288921E-4,2.748928964E-4,-5.009118468E-4,6.167354419E-4
3.300180000E-1,3.787362948E-4,-3.359718248E-4,-5.009118468E-4,7.122014647E-4
3.399730000E-1,-2.321288921E-4,2.748928964E-4,1.099538058E-4,3.762177115E-4
3.499320000E-1,-8.429940790E-4,-3.359718248E-4,1.099538058E-4,9.141148307E-4
3.600040000E-1,-2.321288921E-4,-9.468374774E-4,1.099538058E-4,9.810580363E-4
3.699690000E-1,-2.321288921E-4,-9.468374774E-4,-5.009118468E-4,1.096037276E-3
3.801540000E-1,-2.321288921E-4,-3.359718248E-4,-5.009118468E-4,6.462766960E-4
3.899050000E-1,3.787362948E-4,-3.359718248E-4,1.099538058E-4,5.180811592E-4
3.999160000E-1,-2.321288921E-4,2.748928964E-4,1.099538058E-4,3.762177115E-4
